date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:27:37	89679/89679	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/	G:/projects/opn_new_new/opn-play.web.app/index.html	(from )
05:27:37	852/852	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/robots.txt		(from )
05:27:39	220780/220780	---MCZ	200	added ('OK')	text/css	etag:W/%2235e6c-cZlWqlLbTIr9xcDPs8verWJYuKY%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/css/bootstrap.min.css	(from https://opn-play.web.app/)
05:27:40	71750/71750	---M-Z	200	added ('OK')	text/css	etag:%225f5628a2-11846%22	https://cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	G:/projects/opn_new_new/cdnjs.cloudflare.com/ajax/libs/animate.css/4.1.1/animate.min.css	(from https://opn-play.web.app/)
05:27:42	232914/232914	---MCZ	200	added ('OK')	text/css	etag:W/%2238dd2-sjFlHg/Wi72HWBifvTZCxGLTT6Y%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/bootstrap@5.3.0/dist/css/bootstrap.min.css	(from https://opn-play.web.app/)
05:27:42	96518/96518	---M-Z	200	added ('OK')	text/css	etag:%226696a8d8-546c%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	G:/projects/opn_new_new/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.6.0/css/all.min.css	(from https://opn-play.web.app/)
05:27:43	99556/99556	---MCZ	200	added ('OK')	text/css	etag:W/%22184e4-ptHboTbR5gcHjbMAMHDqs0tR7FA%22	https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css	(from https://opn-play.web.app/)
05:27:43	23658/23658	---MCZ	200	added ('OK')	text/css	etag:W/%225c6a-DtvdHLKOU0DxGEw3kTmqWaeTxx4%22	https://cdn.jsdelivr.net/npm/summernote/dist/summernote-bs5.css	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/summernote/dist/summernote-bs5.css	(from https://opn-play.web.app/)
05:27:44	1901/1901	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/png/logo-tablet.png	G:/projects/opn_new_new/opn-play.web.app/assets/png/logo-tablet.png	(from https://opn-play.web.app/)
05:27:46	46068/46068	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/css/standard.css	G:/projects/opn_new_new/opn-play.web.app/assets/css/standard.css	(from https://opn-play.web.app/)
05:27:46	36794/36794	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/css/dashboard.css	G:/projects/opn_new_new/opn-play.web.app/assets/css/dashboard.css	(from https://opn-play.web.app/)
05:27:47	1262/1262	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/css/sidebar.css	G:/projects/opn_new_new/opn-play.web.app/assets/css/sidebar.css	(from https://opn-play.web.app/)
05:27:47	854/854	---M-Z	200	added ('OK')	text/css	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/css/main_content.css	G:/projects/opn_new_new/opn-play.web.app/assets/css/main_content.css	(from https://opn-play.web.app/)
05:27:49	20122/20122	---MCZ	200	added ('OK')	application/javascript	etag:W/%224e9a-hx1u8QcL02PqOQ4MjDhOR9zn84k%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/@popperjs/core@2.11.8/dist/umd/popper.min.js	(from https://opn-play.web.app/)
05:27:50	80599/80599	---MCZ	200	added ('OK')	application/javascript	etag:W/%2213ad7-v/eN2cAqUAirQ2QpSHOc5Yx2GyE%22	https://cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/bootstrap@5.3.0-alpha1/dist/js/bootstrap.bundle.min.js	(from https://opn-play.web.app/)
05:27:51	87533/87533	---MCZ	200	added ('OK')	application/javascript	etag:W/%22155ed-7khZLR//lS/PBs4LZm7UeFSTr9w%22	https://cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js	G:/projects/opn_new_new/cdn.jsdelivr.net/npm/jquery/dist/jquery.min.js	(from https://opn-play.web.app/)
05:27:53	43705/43705	---MCZ	200	added ('OK')	text/javascript	date:Sat,%2012%20Jul%202025%2007:55:37%20GMT	https://unpkg.com/week-view@1.0.1/dist/week-view.js	G:/projects/opn_new_new/unpkg.com/week-view@1.0.1/dist/week-view.js	(from https://opn-play.web.app/)
05:27:53	4178/4178	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/png/logo.png	G:/projects/opn_new_new/opn-play.web.app/assets/png/logo.png	(from https://opn-play.web.app/)
05:27:55	705/705	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-sidebar-left.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-sidebar-left.svg	(from https://opn-play.web.app/)
05:27:55	89679/89679	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/index.html	G:/projects/opn_new_new/opn-play.web.app/index-2.html	(from https://opn-play.web.app/)
05:27:56	487/487	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-home.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-home.svg	(from https://opn-play.web.app/)
05:27:56	174931/174931	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/physical-performance-dashboard.html	G:/projects/opn_new_new/opn-play.web.app/physical-performance-dashboard.html	(from https://opn-play.web.app/)
05:27:57	10290/10290	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-player.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-player.svg	(from https://opn-play.web.app/)
05:27:58	146788/146788	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/medical.html	G:/projects/opn_new_new/opn-play.web.app/medical.html	(from https://opn-play.web.app/)
05:27:59	56876/56876	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/players.html	G:/projects/opn_new_new/opn-play.web.app/players.html	(from https://opn-play.web.app/)
05:27:59	878/878	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-medical.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-medical.svg	(from https://opn-play.web.app/)
05:28:00	58888/58888	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/calendar.html	G:/projects/opn_new_new/opn-play.web.app/calendar.html	(from https://opn-play.web.app/)
05:28:00	950/950	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-calendar.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-calendar.svg	(from https://opn-play.web.app/)
05:28:01	64715/64715	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/news.html	G:/projects/opn_new_new/opn-play.web.app/news.html	(from https://opn-play.web.app/)
05:28:01	62022/62022	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/messages.html	G:/projects/opn_new_new/opn-play.web.app/messages.html	(from https://opn-play.web.app/)
05:28:02	695/695	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-message.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-message.svg	(from https://opn-play.web.app/)
05:28:02	89719/89719	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/surveys.html	G:/projects/opn_new_new/opn-play.web.app/surveys.html	(from https://opn-play.web.app/)
05:28:03	637/637	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-opened-document.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-opened-document.svg	(from https://opn-play.web.app/)
05:28:03	80989/80989	---M-Z	200	added ('OK')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/backoffice.html	G:/projects/opn_new_new/opn-play.web.app/backoffice.html	(from https://opn-play.web.app/)
05:28:04	11011/11011	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-puzzle.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-puzzle.svg	(from https://opn-play.web.app/)
05:28:05	2746/2746	---M--	200	added ('OK')	image/png	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/png/default-avatar.png	G:/projects/opn_new_new/opn-play.web.app/assets/png/default-avatar.png	(from https://opn-play.web.app/)
05:28:05	67/67	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2018%20Jul%202025%2009:28:05%20GMT	https://opn-play.web.app/assets//svg/icon-arrow-right.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-arrow-right.svg	(from https://opn-play.web.app/)
05:28:06	316/316	---M-Z	200	added ('OK')	image/svg+xml	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/assets/svg/icon-arrow-right.svg	G:/projects/opn_new_new/opn-play.web.app/assets/svg/icon-arrow-right.svg	(from https://opn-play.web.app/)
05:28:06	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/profile.html	G:/projects/opn_new_new/opn-play.web.app/profile.html	(from https://opn-play.web.app/)
05:28:07	1808/1808	---M-Z	404	error ('Not%20Found')	text/html	date:Sun,%2008%20Jun%202025%2020:17:47%20GMT	https://opn-play.web.app/logout.html	G:/projects/opn_new_new/opn-play.web.app/logout.html	(from https://opn-play.web.app/)
